PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,Population<br>Served Count,Number of Facilities,Number of Violations,Number of Site Visits
IA6368601,SUNRISE MILL,Community water system,Ground water purchased,Marion,PELLA,387,4,0,0
IA5059601,SUNRISE TERRACE MHC,Community water system,Ground water purchased,Jasper,NEWTON,330,4,3,7
IA5200602,SUNRISE VILLAGE MOBILE HOME PK,Community water system,Ground water,Johnson,IOWA CITY,340,7,17,12
IA9233301,SUNSET HILLS ESTATES PART 2,Community water system,Ground water,Washington,KALONA,45,7,1,4
IA6469601,SUNSET VILLAGE,Community water system,Ground water purchased,Marshall,MARSHALLTOWN,528,4,2,7
IA3126603,SUPER 20 MOBILE HOME PARK,Community water system,Ground water,Dubuque,DUBUQUE,236,9,18,11
IA3073001,SUPERIOR WATER SYSTEM,Community water system,Surface water purchased,Dickinson,SUPERIOR,132,11,15,9
IA7177007,SUTHERLAND WATER SUPPLY,Community water system,Ground water purchased,O'Brien,SUTHERLAND,629,10,14,9
IA1778008,SWALEDALE WATER SUPPLY,Community water system,Ground water,Cerro Gordo,SWALEDALE,144,7,28,12
IA6380047,SWAN WATER WORKS,Community water system,Ground water purchased,Marion,SWAN,76,9,18,13
IA5584009,SWEA CITY WATER SUPPLY,Community water system,Ground water,Kossuth,SWEA CITY,584,12,0,14
IA3100600,TABLE MOUND PARK,Community water system,Ground water purchased,Dubuque,DUBUQUE,406,15,9,9
IA3667012,TABOR WATER SUPPLY,Community water system,Ground water,Fremont,TABOR,"1,014",8,2,12
IA8670013,TAMA WATER SUPPLY,Community water system,Ground water,Tama,TAMA,"3,130",13,2,11
IA1479015,TEMPLETON WATER SUPPLY,Community water system,Ground water purchased,Carroll,TEMPLETON,352,7,0,13
IA3126604,TERRACE HEIGHTS,Community water system,Ground water purchased,Dubuque,DUBUQUE,548,4,1,4
IA3080016,TERRIL MUNICIPAL WATERWORKS,Community water system,Ground water,Dickinson,TERRIL,334,7,8,11
IA0690304,TERRY WATER ASSOCIATION,Community water system,Ground water,Benton,WALFORD,25,5,6,3
IA5225321,THE MEADOWS,Community water system,Ground water,Johnson,IOWA CITY,35,9,9,8
IA9585017,THOMPSON WATER WORKS,Community water system,Ground water,Winnebago,THOMPSON,510,10,12,12
IA4680018,THOR WATER WORKS,Community water system,Ground water,Humboldt,THOR,181,8,18,13
IA1781019,THORNTON WATER SUPPLY,Community water system,Ground water,Cerro Gordo,THORNTON,400,9,9,11
IA3170335,THUNDER HILLS HOME & UTILITY ASSOC.,Community water system,Ground water,Dubuque,PEOSTA,225,8,21,9
IA3671021,THURMAN WATER WORKS,Community water system,Ground water,Fremont,THURMAN,167,9,17,13
IA5288021,TIFFIN WATER SUPPLY,Community water system,Ground water,Johnson,TIFFIN,"4,512",20,5,12
IA8215306,TIMBER LAKE ESTATES HOA,Community water system,Ground water,Scott,BLUE GRASS,83,5,3,9
IA0600600,TIMBER RIDGE,Community water system,Purchased ground water under influence of surface water source,Benton,SHELLSBURG,225,10,38,9
IA5200303,TIMBER TRAIL HOMEOWNERS ASSOCIATION,Community water system,Ground water,Johnson,IOWA CITY,80,8,20,12
IA8215384,TIMBER VALLEY ESTATES (1ST & 2ND ADD),Community water system,Ground water,Scott,BLUE GRASS,132,6,58,10
IA8215385,TIMBER VALLEY ESTATES (THIRD ADDITION),Community water system,Ground water,Scott,BLUE GRASS,65,6,53,10
IA6400628,TIMBER WOLF VALLEY PARK,Community water system,Ground water,Marshall,MARSHALLTOWN,382,7,25,8
IA5200810,TIMBERLAKE,Community water system,Ground water,Johnson,SWISHER,52,6,35,11
IA9433336,TIMBERLANE ADDITION,Community water system,Ground water,Webster,FORT DODGE,48,6,42,11
IA9260302,TIMBERLINE ESTATES,Community water system,Ground water,Washington,RIVERSIDE,95,9,6,9
IA2900626,"TIMBERLINE ESTATES, LTD.",Community water system,Ground water,Des Moines,WEST BURLINGTON,712,9,18,11
IA1689022,TIPTON WATER SUPPLY,Community water system,Ground water,Cedar,TIPTON,"3,149",15,1,10
IA5588026,TITONKA WATER SUPPLY,Community water system,Ground water,Kossuth,TITONKA,511,7,2,12
IA8676027,TOLEDO WATER SUPPLY,Community water system,Ground water,Tama,TOLEDO,"2,369",16,18,10
IA8681030,TRAER MUNICIPAL WATER PLANT,Community water system,Ground water,Tama,TRAER,"1,583",15,8,12
IA7866031,TREYNOR WATER DEPARTMENT,Community water system,Ground water,Pottawattamie,TREYNOR,"1,032",9,5,10
IA0975032,TRIPOLI WATER SUPPLY,Community water system,Ground water,Bremer,TRIPOLI,"1,191",12,1,9
IA8209301,TROUT VALLEY 2ND ADDITION,Community water system,Ground water,Scott,BETTENDORF,85,5,26,11
IA8209398,TROUT VALLEY HOMES ASSOC. 1,Community water system,Ground water,Scott,BETTENDORF,72,5,28,11
IA1182035,TRUESDALE WATER SUPPLY,Community water system,Ground water purchased,Buena Vista,TRUESDALE,69,9,3,10
IA6167036,TRURO WATERWORKS,Community water system,Surface water purchased,Madison,TRURO,509,11,14,10
IA5225316,TURKEY CREEK DEVELOPMENT,Community water system,Ground water,Johnson,IOWA CITY,65,7,13,10
IA5784326,TWIN KNOLLS FOURTH/FIFTH ADDITION,Community water system,Ground water,Linn,TODDVILLE,90,10,18,10
IA1300101,TWIN LAKES UTILITIES,Community water system,Ground water purchased,Calhoun,ROCKWELL CITY,300,14,14,10
IA5200861,TWIN VALLEY LAKES IMPROVEMENT ASSN,Community water system,Ground water,Johnson,SOLON,100,11,27,11
IA5282301,TWIN VIEW HEIGHTS,Community water system,Ground water,Johnson,SOLON,155,9,25,10
IA4291038,UNION WATER SUPPLY,Community water system,Ground water,Hardin,UNION,399,13,15,12
IA5225101,UNIVERSITY WATER SYSTEM,Community water system,Surface water,Johnson,IOWA CITY,"26,684",20,30,9
IA7820701,URBAN BLUFFS - NORTH,Community water system,Surface water purchased,Pottawattamie,COUNCIL BLUFFS,"1,515",8,4,8
IA0680041,URBANA WATER SUPPLY,Community water system,Ground water,Benton,URBANA,"1,554",17,0,10
IA7780042,URBANDALE WATER UTILITY,Community water system,Surface water purchased,Polk,URBANDALE,"45,600",13,2,8
IA6762043,UTE WATER SUPPLY,Community water system,Ground water,Monona,UTE,338,12,11,11
IA2452044,VAIL WATER SUPPLY,Community water system,Ground water purchased,Crawford,VAIL,396,10,13,12
IA8215305,VALLEY HEIGHTS 1ST ANNEX,Community water system,Ground water,Scott,BLUE GRASS,78,5,13,10
IA7048332,VALLEY VIEW ESTATES #1 AND #2,Community water system,Ground water,Muscatine,MUSCATINE,89,10,13,10
IA4300601,VALLEY VIEW WATER ASSOCIATION,Community water system,Ground water,Harrison,MISSOURI VALLEY,65,8,30,8
IA0685045,VAN HORNE WATER WORKS,Community water system,Purchased ground water under influence of surface water source,Benton,VAN HORNE,774,12,10,9
IA2570046,VAN METER MUNICIPAL WATER WORK,Community water system,Ground water,Dallas,VAN METER,"1,484",13,10,10
IA7642047,VARINA WATER SUPPLY,Community water system,Ground water,Pocahontas,VARINA,68,11,4,10
IA1785032,VENTURA WATER WORKS,Community water system,Ground water,Cerro Gordo,VENTURA,711,11,1,10
IA5784303,VERN ACRES (OLIPHANT ADDITION),Community water system,Ground water,Linn,CENTER POINT,150,8,23,9
IA4875050,VICTOR MUNICIPAL WATER DEPT,Community water system,Ground water,Iowa,VICTOR,875,8,13,11
IA8215304,VILLAGE OAKS HOMEOWNERS ASSN,Community water system,Ground water,Scott,BLUE GRASS,250,10,12,11
IA6985051,VILLISCA MUNICIPAL WATER DEPT,Community water system,Ground water,Montgomery,VILLISCA,"1,132",16,5,12
IA9486052,VINCENT WATER SUPPLY,Community water system,Ground water,Webster,VINCENT,130,9,2,11
IA0688053,VINTON MUNICIPAL WATER DEPT,Community water system,Ground water,Benton,VINTON,"4,938",14,7,11
IA8209359,VISTA HILLS WATER ASSOCIATION,Community water system,Ground water,Scott,LE CLAIRE,39,5,18,11
IA6377601,VISTA VILLAGE MHC,Community water system,Ground water purchased,Marion,PLEASANTVILLE,110,4,1,2
IA2285055,VOLGA WATER SUPPLY,Community water system,Ground water,Clayton,VOLGA CITY,203,14,19,12
IA2424701,W CENTRAL RWA - DENISON SUBSYS,Community water system,Ground water purchased,Crawford,DENISON,"2,428",20,0,9
IA3371056,WADENA WATER SYSTEM,Community water system,Ground water,Fayette,WADENA,209,8,12,9
IA3087057,WAHPETON WATER SUPPLY,Community water system,Surface water,Dickinson,WAHPETON,345,19,54,10
IA8285058,WALCOTT WATERWORKS,Community water system,Ground water,Scott,WALCOTT,"1,551",16,4,11
IA4802301,WALDENBURG COMMUNITY WATER SYSTEM,Community water system,Ground water,Iowa,AMANA,90,6,16,10
IA9260301,WALDSCHMIDT SUBDIVISION,Community water system,Ground water,Washington,RIVERSIDE,45,5,17,10
IA5792059,WALKER WATER WORKS,Community water system,Ground water,Linn,WALKER,688,9,7,10
IA8166061,WALL LAKE WATER SUPPLY,Community water system,Ground water,Sac,WALL LAKE,755,12,9,10
IA3290060,WALLINGFORD MUNICIPAL WATERWORKS,Community water system,Ground water purchased,Emmet,WALLINGFORD,165,11,10,10
IA7872062,WALNUT MUNICIPAL UTILITIES,Community water system,Ground water,Pottawattamie,WALNUT,747,9,15,10
IA0690305,WALNUT STREET WELL,Community water system,Ground water,Benton,WALFORD,45,6,4,3
IA2258601,WALTERS MOBILE HOME PARK,Community water system,Ground water,Clayton,MCGREGOR,25,5,4,8
IA5879063,WAPELLO MUNICIPAL WATER WORKS,Community water system,Ground water,Louisa,WAPELLO,"2,084",11,6,10
IA9000742,WAPELLO RURAL WATER ASSOC.,Community water system,Surface water purchased,"Jefferson, Keokuk, Wapello, Washington",OTTUMWA,"16,075",76,4,11
IA9133701,WARREN WATER DISTRICT,Community water system,Surface water purchased,"Madison, Warren",INDIANOLA,"18,963",49,6,12
IA9271068,WASHINGTON WATER DEPARTMENT,Community water system,Ground water,Washington,WASHINGTON,"7,352",18,13,12
IA1880073,WASHTA WATER SUPPLY,Community water system,Ground water,Cherokee,WASHTA,209,10,4,10
IA0790074,WATERLOO WATER WORKS,Community water system,Ground water,Black Hawk,WATERLOO,"69,193",50,22,9
IA3375001,WAUCOMA WATER SUPPLY,Community water system,Ground water,Fayette,WAUCOMA,229,6,4,10
IA2573080,WAUKEE WATER SUPPLY,Community water system,Surface water purchased,Dallas,WAUKEE,"23,940",14,24,10
IA0398082,WAUKON WATER DEPARTMENT,Community water system,Ground water,Allamakee,WAUKON,"3,827",14,3,10
IA0990085,WAVERLY WATER DEPARTMENT,Community water system,Ground water,Bremer,WAVERLY,"10,394",24,5,10
IA4490091,WAYLAND WATER SUPPLY,Community water system,Ground water,Henry,WAYLAND,964,9,15,10
IA4063094,WEBSTER CITY WATER SUPPLY,Community water system,Ground water,Hamilton,WEBSTER CITY,"7,825",25,7,11
IA5491093,WEBSTER MUNICIPAL WATER WORKS,Community water system,Ground water,Keokuk,WEBSTER,94,8,15,12
IA9276096,WELLMAN MUNICIPAL WATERWORKS,Community water system,Ground water,Washington,WELLMAN,"1,524",11,44,12
IA3890097,WELLSBURG WATER SUPPLY,Community water system,Ground water purchased,Grundy,WELLSBURG,720,12,24,11
IA2391001,WELTON WATER SUPPLY,Community water system,Ground water,Clinton,WELTON,121,9,2,5
IA5225306,WENDRAM BLUFF HOMES WATER SYSTEM,Community water system,Ground water,Johnson,IOWA CITY,68,6,23,11
IA5592098,WESLEY WATER SUPPLY,Community water system,Ground water,Kossuth,WESLEY,391,10,3,13
IA7470099,WEST BEND WATER DEPARTMENT,Community water system,Ground water,Palo Alto,WEST BEND,791,13,8,10
IA1600682,WEST BRANCH MHP,Community water system,Ground water purchased,Cedar,WEST BRANCH,400,5,0,1
IA1694000,WEST BRANCH WATER WORKS,Community water system,Ground water,Cedar,WEST BRANCH,"2,509",18,9,13
IA2985002,WEST BURLINGTON MUNI. WATER SUPPLY,Community water system,Surface water purchased,Des Moines,WEST BURLINGTON,"3,197",18,11,11
IA1400902,WEST CENTRAL RWA - NISH SYSTEM,Community water system,Ground water,Carroll,MANNING,"3,573",40,21,11
IA1400903,WEST CENTRAL RWA-BOYER SYSTEM,Community water system,Ground water,Sac,WALL LAKE,"1,715",31,19,9
IA9281006,WEST CHESTER MUNI WTR SUPPLY,Community water system,Ground water,Washington,WEST CHESTER,144,6,20,11
IA7785007,WEST DES MOINES WATER WORKS,Community water system,Surface water purchased,"Dallas, Polk",WEST DES MOINES,"68,723",52,2,8
IA7073010,WEST LIBERTY WATER UTILITY,Community water system,Ground water,Muscatine,WEST LIBERTY,"3,858",12,8,10
IA3090081,WEST OKOBOJI,Community water system,Surface water purchased,Dickinson,WEST OKOBOJI,308,5,5,9
IA3070301,WEST OKOBOJI HARBOR ASSOCIATION,Community water system,Ground water,Dickinson,SPIRIT LAKE,360,11,9,13
IA5691012,WEST POINT MUNI WATER SYSTEM,Community water system,Surface water purchased,Lee,WEST POINT,921,8,34,10
IA5731301,WEST POST ESTATES ADDITION,Community water system,Ground water,Linn,FAIRFAX,85,6,3,9
IA3383014,WEST UNION WATER SUPPLY,Community water system,Ground water,Fayette,WEST UNION,"2,490",12,3,9
IA5225327,WESTCOTT HEIGHTS HOA PART THREE,Community water system,Ground water,Johnson,IOWA CITY,120,7,3,8
IA5225325,WESTCOTT HEIGHTS PARTS 1 & 2,Community water system,Ground water,Johnson,IOWA CITY,63,5,10,9
IA5500820,WESTERN HILLS,Community water system,Ground water,Kossuth,ALGONA,45,6,33,12
IA5208600,WESTERN HILLS (MOBILE) ESTATES,Community water system,Ground water,Johnson,CORALVILLE,760,7,25,11
IA7589008,WESTFIELD WATER SUPPLY,Community water system,Ground water,Plymouth,WESTFIELD,123,8,14,10
IA3379009,WESTGATE WATER SUPPLY,Community water system,Ground water,Fayette,WESTGATE,192,8,16,10
IA2458023,WESTSIDE WATER SUPPLY,Community water system,Ground water purchased,Crawford,WESTSIDE,285,8,10,14
IA4453318,WESTWOOD WATER SUPPLY,Community water system,Ground water purchased,Henry,WESTWOOD,101,5,12,10
IA5493016,WHAT CHEER WATER SUPPLY,Community water system,Ground water purchased,Keokuk,WHAT CHEER,607,9,9,11
IA2394017,WHEATLAND CITY WATER SUPPLY,Community water system,Ground water,Clinton,WHEATLAND,775,10,10,11
IA6342301,WHEEL ESTATES MHC,Community water system,Ground water purchased,Marion,KNOXVILLE,315,5,0,3
IA6769018,WHITING WATER SUPPLY,Community water system,Ground water,Monona,WHITING,745,9,3,10
IA5595020,WHITTEMORE MUNI WATER SUPPLY,Community water system,Ground water,Kossuth,WHITTEMORE,497,11,9,12
IA2570301,WILDWOOD WATER CORPORATION,Community water system,Ground water,Dallas,VAN METER,145,7,1,9
IA4070022,WILLIAMS WATER SUPPLY,Community water system,Ground water,Hamilton,WILLIAMS,307,7,3,10
IA4884023,WILLIAMSBURG PUBLIC WATER SUPPLY,Community water system,Ground water,Iowa,WILLIAMSBURG,"3,345",22,11,16
IA8230301,WILLOW STREAM ESTATES MOBILE HOME,Community water system,Ground water,Scott,ELDRIDGE,110,8,22,11
IA9164601,WILSHIRE HILLS MHC,Community water system,Surface water purchased,Warren,NORWALK,216,5,0,2
IA7078026,WILTON WATER SUPPLY,Community water system,Ground water,Muscatine,WILTON,"2,924",14,3,9
IA5285302,WINCHESTER HEIGHTS SUBDIVISION,Community water system,Ground water,Johnson,SWISHER,67,5,2,10
IA2300607,WINDING BROOK MOBILE HOME PARK,Community water system,Ground water,Clinton,DE WITT,150,8,94,11
IA5748300,WINDY RIDGE WELL ASSOCIATION,Community water system,Ground water,Linn,LISBON,45,6,12,9
IA4493028,WINFIELD MUNI WATER DEPT,Community water system,Ground water,Henry,WINFIELD,"1,033",8,3,12
IA6171029,WINTERSET MUNICIPAL WATERWORKS,Community water system,Surface water,Madison,WINTERSET,"5,353",20,31,12
IA1093031,WINTHROP WATER SUPPLY,Community water system,Ground water,Buchanan,WINTHROP,823,9,9,9
IA1570032,WIOTA WATER WORKS,Community water system,Ground water,Cass,WIOTA,91,11,32,12
IA4170033,WODEN WATER SUPPLY,Community water system,Ground water,Hancock,WODEN,188,6,22,11
IA4388034,WOODBINE WATER DEPARTMENT,Community water system,Ground water,Harrison,WOODBINE,"1,625",11,6,12
IA9433600,WOODLAND ACRES,Community water system,Ground water,Webster,FORT DODGE,110,7,50,11
IA5225309,WOODLAND HEIGHTS HOMEOWNERS ASSOC.,Community water system,Ground water,Johnson,IOWA CITY,43,5,28,11
IA5225333,WOODLAND RIDGE ESTATES,Community water system,Ground water,Johnson,IOWA CITY,42,4,0,1
IA5879601,WOODLAND WAPELLO MOBILE HOME PARK,Community water system,Ground water,Louisa,WAPELLO,126,8,53,13
IA5502319,WOODLYN HILLS,Community water system,Ground water,Kossuth,ALGONA,110,14,10,10
IA8245357,WOODS AND MEADOWS SUBDIVISION,Community water system,Ground water,Scott,LE CLAIRE,148,9,17,11
IA5280304,WOODS AT HUNTER CREEK (PART 1),Community water system,Ground water,Johnson,SHUEYVILLE,50,5,0,0
IA0800923,WOODWARD RESOURCE CENTER,Community water system,Surface water purchased,Boone,WOODWARD,700,11,7,10
IA2576036,WOODWARD WATER SUPPLY,Community water system,Ground water,Dallas,WOODWARD,"1,346",14,12,10
IA9970037,WOOLSTOCK WATER SUPPLY,Community water system,Ground water,Wright,WOOLSTOCK,144,8,12,12
IA3189001,WORTHINGTON WATER SUPPLY,Community water system,Ground water,Dubuque,WORTHINGTON,382,6,1,9
IA5396039,WYOMING WATER SYSTEM,Community water system,Ground water,Jones,WYOMING,523,11,7,9
IA0844006,XENIA RWD (BOONE),Community water system,Purchased ground water under influence of surface water source,Boone,LUTHER,"4,565",34,19,10
IA2573701,XENIA RWD (DES MOINES),Community water system,Surface water purchased,Dallas,MINBURN,"9,447",44,6,10
IA0848701,XENIA RWD (MADRID),Community water system,Purchased ground water under influence of surface water source,Boone,MADRID,"1,575",8,3,9
IA9425701,XENIA RWD (NORTH),Community water system,Ground water,"Boone, Greene, Hamilton, Webster",STRATFORD,"5,980",49,2,9
IA2576705,XENIA RWD (WOODWARD),Community water system,Surface water purchased,Dallas,WOODWARD,"3,362",20,18,12
IA3980040,YALE WATER SUPPLY,Community water system,Ground water,Guthrie,YALE,267,7,2,12
IA5784321,YANKEE GROVE HOA,Community water system,Ground water,Cedar,LISBON,64,6,24,10
IA1667301,YANKEE GROVE PART 3,Community water system,Ground water,Cedar,LISBON,26,4,3,5
IA8590041,ZEARING WATER DEPARTMENT,Community water system,Ground water purchased,Story,ZEARING,528,11,23,11
IA6649801,ABSOLUTE ENERGY LLC,Non-Transient non-community system,Ground water,Mitchell,MONA,70,6,1,6
IA9774003,AG PROCESSING - REFINERY,Non-Transient non-community system,Ground water,Woodbury,SERGEANT BLUFF,50,7,0,2
IA9774002,AG PROCESSING - SOY PLANT,Non-Transient non-community system,Ground water,Woodbury,SERGEANT BLUFF,110,9,11,9
IA5502101,AG PROCESSING INC - ALGONA,Non-Transient non-community system,Ground water,Kossuth,ALGONA,49,9,1,5
IA0375180,AGRI STAR MEAT AND POULTRY LLC,Non-Transient non-community system,Ground water,Allamakee,POSTVILLE,550,14,53,9
IA1970103,AMERITEC MACHINING INC,Non-Transient non-community system,Ground water,Chickasaw,NEW HAMPTON,40,6,3,7
IA7048161,BAYER CROP SCIENCE LP,Non-Transient non-community system,Ground water,Muscatine,MUSCATINE,575,17,10,9
IA3130802,BIG RIVER UNITED ENERGY LLC,Non-Transient non-community system,Ground water,Delaware,DYERSVILLE,50,5,4,5
IA3100605,CAMP GRANADA,Non-Transient non-community system,Ground water,Dubuque,DUBUQUE,76,8,10,9
IA5715103,CENTRAL IOWA POWER COOPERATIVE,Non-Transient non-community system,Ground water,Linn,CEDAR RAPIDS,56,6,7,9
IA8271565,CODY ELEMENTARY SCHOOL,Non-Transient non-community system,Ground water,Scott,PLEASANT VALLEY,400,6,6,10
IA5625141,CONAGRA FOODS PACKAGED FOODS LLC,Non-Transient non-community system,Ground water,Lee,FORT MADISON,540,14,3,10
IA5208103,CRJS (HAWKEYE READY-MIX),Non-Transient non-community system,Ground water,Johnson,CORALVILLE,26,4,0,2
IA5252203,DANS OVERHEAD DOORS,Non-Transient non-community system,Ground water,Johnson,NORTH LIBERTY,110,9,3,7
IA9926801,DAYBREAK FOODS EAGLE GROVE COMPLEX,Non-Transient non-community system,Ground water,Wright,EAGLE GROVE,210,16,9,8
IA7445101,DAYBREAK FOODS INC,Non-Transient non-community system,Ground water,Palo Alto,GRAETTINGER,65,7,6,7
IA9926802,DAYBREAK FOODS VINCENT COMPLEX,Non-Transient non-community system,Ground water,Wright,EAGLE GROVE,60,11,9,8
IA6527545,EAST MILLS SCHOOL,Non-Transient non-community system,Ground water,Mills,HASTINGS,285,7,32,10
IA7820851,EASTERN HILLS BAPTIST CHURCH,Non-Transient non-community system,Ground water,Pottawattamie,COUNCIL BLUFFS,149,5,56,8
IA2825101,"EIP MANUFACTURING, LLC",Non-Transient non-community system,Ground water,Delaware,EARLVILLE,60,8,45,8
IA2326104,EQUISTAR CHEMICALS  LP,Non-Transient non-community system,Ground water,Clinton,CLINTON,715,14,2,9
IA5213101,FARMERS ALL NATURAL CREAMERY,Non-Transient non-community system,Ground water,Johnson,WELLMAN,27,10,0,3
IA4535101,"FEATHERLITE MANUFACTURING, INC.",Non-Transient non-community system,Ground water,Howard,LIME SPRINGS,45,6,15,9
IA9580073,FIVE STAR COOPERATIVE (SCARVILLE),Non-Transient non-community system,Ground water,Winnebago,SCARVILLE,114,7,49,2
IA4070204,FLYING J NO 572,Non-Transient non-community system,Ground water,Hamilton,WILLIAMS,"1,892",9,15,12
IA1700854,FOUR OAKS (MASON CITY),Non-Transient non-community system,Ground water,Cerro Gordo,MASON CITY,84,8,1,10
IA5225312,GATEWAY DEVELOPMENT,Non-Transient non-community system,Ground water,Johnson,IOWA CITY,400,5,23,9
IA8222102,GENESIS E CAMPUS HOSPITAL EMG WELL,Non-Transient non-community system,Ground water,Scott,DAVENPORT,"6,165",4,0,0
IA9433188,GEORGIA PACIFIC CORP GYPSUM DIV.,Non-Transient non-community system,Ground water,Webster,FORT DODGE,160,8,52,9
IA7820558,GREEN HILLS AEA,Non-Transient non-community system,Ground water,Pottawattamie,COUNCIL BLUFFS,100,5,6,12
IA5731202,GSTC COMMERCIAL PARK,Non-Transient non-community system,Ground water,Linn,WALFORD,193,6,1,7
IA4109101,HAWKEYE PRIDE EGG FARM LLP,Non-Transient non-community system,Ground water,Hancock,CORWITH,100,7,1,4
IA1900901,HERITAGE RESIDENCE,Non-Transient non-community system,Ground water,Chickasaw,NEW HAMPTON,50,6,12,9
IA9260528,HIGHLAND HIGH SCHOOL,Non-Transient non-community system,Ground water,Washington,RIVERSIDE,405,8,21,9
IA3383101,HILLANDALE IOWA II LLP,Non-Transient non-community system,Ground water,Fayette,WEST UNION,35,10,4,7
IA9233520,HILLCREST ACADEMY,Non-Transient non-community system,Ground water,Washington,KALONA,202,10,11,10
IA1970801,HOMELAND ENERGY SOLUTION LLC,Non-Transient non-community system,Ground water,Chickasaw,NEW HAMPTON,60,6,1,7
IA1672101,HWH CORPORATION,Non-Transient non-community system,Ground water,Cedar,MOSCOW,250,10,17,10
IA7078101,HWH CORPORATION (WEST),Non-Transient non-community system,Ground water,Cedar,TIPTON,50,5,17,10
IA3643202,I-29 HWY 2 SID LLC,Non-Transient non-community system,Ground water,Fremont,PERCIVAL,"1,074",6,8,9
IA0345181,INTERSTATE POWER AND LIGHT COMPANY,Non-Transient non-community system,Ground water,Allamakee,LANSING,50,11,3,9
IA2900900,IOWA ARMY AMMUNITION PLANT,Non-Transient non-community system,Surface water purchased,Des Moines,BURLINGTON,"1,100",10,24,11
IA9937101,IOWA CAGE FREE,Non-Transient non-community system,Ground water,Wright,GOLDFIELD,45,8,1,2
IA9585801,IOWA CAGE FREE - THOMPSON,Non-Transient non-community system,Ground water,Winnebago,THOMPSON,75,13,2,10
IA4558101,IOWA CONTRACT FABRICATORS INC,Non-Transient non-community system,Ground water,Howard,RICEVILLE,160,5,1,8
IA4213103,IOWA LIMESTONE CO,Non-Transient non-community system,Ground water,Hardin,ALDEN,46,19,4,9
IA8670101,IOWA PREMIUM LLC,Non-Transient non-community system,Ground water,Tama,TAMA,925,9,3,6
IA3564901,IRUA (DOWS),Non-Transient non-community system,Ground water,Franklin,DOWS,"2,042",6,1,12
IA3126116,JOHN DEERE DUBUQUE WORKS,Non-Transient non-community system,Ground water,Dubuque,DUBUQUE,"3,000",20,3,9
IA0932101,KAY ENTERPRISES INC,Non-Transient non-community system,Ground water,Black Hawk,JANESVILLE,55,5,20,6
IA4884101,KINZE MANUFACTURING INC,Non-Transient non-community system,Ground water,Iowa,WILLIAMSBURG,710,21,10,8
IA9433161,KOCH FERTILIZER FT DODGE LLC,Non-Transient non-community system,Ground water,Webster,FORT DODGE,127,9,0,11
IA0398102,KOL GOL INC,Non-Transient non-community system,Ground water,Allamakee,WAUKON,42,6,4,7
IA1750196,LEHIGH CEMENT COMPANY LLC,Non-Transient non-community system,Ground water,Cerro Gordo,MASON CITY,125,10,19,12
IA3570101,LEMAR INDUSTRIES,Non-Transient non-community system,Ground water,Franklin,SHEFFIELD,45,6,0,4
IA5700900,LINN CO ENGINEER AND SECONDARY ROADS,Non-Transient non-community system,Ground water,Linn,MARION,658,6,22,8
IA8222101,LINWOOD MINING AND MINERALS CORP,Non-Transient non-community system,Ground water,Scott,BUFFALO,125,20,22,3
IA5285501,LITTLE ANGELS CHILD CARE CENTER,Non-Transient non-community system,Ground water,Johnson,SWISHER,65,4,20,8
IA3405802,LIVING HOPE MENNONITE CHURCH,Non-Transient non-community system,Ground water,Floyd,CHARLES CITY,125,5,0,0
IA5847537,LOUISA-MUSCATINE COMMUNITY SCHOOL,Non-Transient non-community system,Ground water,Louisa,LETTS,"1,190",9,28,10
IA4103101,MICHAEL FOODS - BRITT,Non-Transient non-community system,Ground water,Hancock,BRITT,110,10,49,9
IA9233522,MID-PRAIRIE HOME SCHOOL ED CENTER,Non-Transient non-community system,Ground water,Washington,KALONA,160,8,20,12
IA9778106,MIDAMERICAN ENERGY CO - NEAL SOUTH,Non-Transient non-community system,Ground water,Woodbury,SIOUX CITY,107,12,0,9
IA9778105,MIDAMERICAN ENERGY CO. NEAL NORTH,Non-Transient non-community system,Ground water,Woodbury,SIOUX CITY,100,12,4,9
IA5502801,MURPHY FAMILY FARMS - FEED MILL,Non-Transient non-community system,Ground water,Kossuth,ALGONA,60,17,16,9
IA9958101,NEW COOPERATIVE ROWAN MILL,Non-Transient non-community system,Ground water,Franklin,ROWAN,25,8,4,2
IA9475101,"NEW COOPERATIVE, INC (ROELYN)",Non-Transient non-community system,Ground water,Webster,MOORLAND,80,6,4,2
IA4103801,NEW HORIZON COOP/SPARBOE FARMS-BRITT,Non-Transient non-community system,Ground water,Hancock,BRITT,30,8,35,7
IA5715150,NEXTERA ENERGY DUANE ARNOLD LLC,Non-Transient non-community system,Ground water,Linn,PALO,196,24,4,9
IA3338500,NORTH FAYETTE VALLEY COMMUNITY SCHOOL,Non-Transient non-community system,Ground water,Fayette,ELGIN,552,6,14,9
IA5722532,NORTH LINN HIGH SCHOOL / MIDDLE SCHOOL,Non-Transient non-community system,Ground water,Linn,COGGON,724,6,10,9
IA5515527,NORTH UNION ELEMENTARY SCHOOL,Non-Transient non-community system,Ground water,Kossuth,FENTON,241,9,9,12
IA9630530,NORTH WINNESHIEK COM. SCHOOL,Non-Transient non-community system,Ground water,Winneshiek,DECORAH,42,8,12,9
IA5200982,OAKDALE HOSPITAL WATER SYSTEM,Non-Transient non-community system,Ground water,Johnson,OAKDALE,450,12,2,9
